duration_seconds,cpu0_package_joules,cpu0_core_joules,cpu0_uncore_joules,cpu0_dram_joules,image,model
0.912038,3.393066,2.594299,0.043762,0.675476,500b,resnet18
0.907218,3.359924,2.547424,0.039185,0.655518,500b,resnet18
0.814667,3.368042,2.624634,0.041016,0.614929,500b,resnet18
0.898904,3.482727,2.630127,0.054382,0.674500,500b,resnet18
0.815751,3.263733,2.543945,0.044617,0.607300,500b,resnet18
0.898295,3.464844,2.590149,0.053101,0.671448,500b,resnet18
0.813471,3.282532,2.536804,0.043091,0.617371,500b,resnet18
0.815975,3.346497,2.547485,0.054504,0.624756,500b,resnet18
0.908473,3.557251,2.755493,0.042908,0.669434,500b,resnet18
0.914003,3.550415,2.689453,0.053223,0.693542,500b,resnet18
0.893751,3.307495,2.530884,0.030762,0.646118,500b,resnet18
0.911831,3.527832,2.639771,0.057312,0.688110,500b,resnet18
0.906438,3.821838,3.003601,0.042236,0.668030,500b,resnet18
0.891254,3.295776,2.422852,0.046143,0.648376,500b,resnet18
0.911660,3.501404,2.676086,0.044189,0.669678,500b,resnet18
0.910788,3.581848,2.708923,0.055542,0.692505,500b,resnet18
0.833802,3.310608,2.573120,0.042542,0.626587,500b,resnet18
0.980369,3.773438,2.843323,0.052551,0.721008,500b,resnet18
0.915263,3.448669,2.644104,0.042603,0.668579,500b,resnet18
0.898858,3.399231,2.562622,0.050415,0.669861,500b,resnet18
0.807269,3.236816,2.489990,0.042847,0.607666,500b,resnet18
0.842079,3.726074,2.854309,0.071533,0.701233,500b,resnet18
0.874574,3.291321,2.545593,0.035400,0.643677,500b,resnet18
0.929614,3.734924,2.821167,0.058105,0.689880,500b,resnet18
0.893524,3.334167,2.558044,0.038818,0.652466,500b,resnet18
0.915294,3.791870,2.848755,0.070007,0.728455,500b,resnet18
0.898938,3.507080,2.625610,0.058594,0.684021,500b,resnet18
0.921201,3.572327,2.693359,0.062195,0.714050,500b,resnet18
0.913627,3.733276,2.847717,0.074890,0.725708,500b,resnet18
0.984898,3.412537,2.542847,0.050903,0.712402,500b,resnet18
0.905954,3.719910,2.839966,0.073975,0.714417,500b,resnet18
0.910560,3.901978,3.002808,0.058899,0.718079,500b,resnet18
0.909710,3.680603,2.824524,0.069336,0.719421,500b,resnet18
0.795526,3.201355,2.422852,0.058655,0.619080,500b,resnet18
0.901960,3.741516,2.854736,0.071045,0.719177,500b,resnet18
0.912638,3.706421,2.811340,0.058105,0.711609,500b,resnet18
0.932632,3.638000,2.765503,0.068604,0.738281,500b,resnet18
0.877299,3.381165,2.538696,0.060303,0.664673,500b,resnet18
0.812743,3.392822,2.610962,0.066956,0.651917,500b,resnet18
0.904412,3.550171,2.712769,0.058899,0.693298,500b,resnet18
0.808175,3.474487,2.676514,0.071960,0.656982,500b,resnet18
0.803417,3.294739,2.525208,0.056335,0.634644,500b,resnet18
0.825978,3.421814,2.662598,0.060120,0.655273,500b,resnet18
0.890681,3.693420,2.827209,0.069031,0.710022,500b,resnet18
0.807625,3.484314,2.668762,0.059692,0.648071,500b,resnet18
0.817814,3.676392,2.882812,0.072449,0.674011,500b,resnet18
0.885218,3.279297,2.479187,0.059204,0.668762,500b,resnet18
0.911517,3.806213,2.904358,0.069275,0.731628,500b,resnet18
0.805605,3.408142,2.658386,0.057434,0.639038,500b,resnet18
1.003788,3.961731,2.947632,0.068176,0.781189,500b,resnet18
0.909466,3.644287,2.830811,0.059265,0.710327,500b,resnet18
0.908462,3.655945,2.783875,0.071777,0.720947,500b,resnet18
0.841790,3.658875,2.863159,0.061584,0.693115,500b,resnet18
0.873387,3.514099,2.639893,0.070129,0.696350,500b,resnet18
0.816611,3.335938,2.562500,0.056458,0.638550,500b,resnet18
0.811235,3.467712,2.637146,0.060852,0.648499,500b,resnet18
0.782142,3.056030,2.289062,0.065613,0.610657,500b,resnet18
0.906540,3.652649,2.821350,0.057861,0.706909,500b,resnet18
0.901975,3.449341,2.612061,0.069214,0.690979,500b,resnet18
0.800817,3.458435,2.656738,0.061096,0.640259,500b,resnet18
0.907982,3.630981,2.748718,0.070374,0.720093,500b,resnet18
0.922855,3.756470,2.874817,0.056335,0.717590,500b,resnet18
0.896230,3.338623,2.480957,0.072449,0.687927,500b,resnet18
0.886575,3.289673,2.480225,0.060242,0.674011,500b,resnet18
0.909273,3.429810,2.606262,0.068542,0.694031,500b,resnet18
0.929176,3.787964,2.899109,0.057373,0.717834,500b,resnet18
0.891007,3.692322,2.779297,0.068176,0.699646,500b,resnet18
0.798290,3.331604,2.519836,0.060669,0.629211,500b,resnet18
0.829231,3.593262,2.773865,0.071228,0.674683,500b,resnet18
0.875015,3.256714,2.465393,0.055298,0.657654,500b,resnet18
0.795721,3.216248,2.475952,0.065491,0.620483,500b,resnet18
0.825482,3.455688,2.686584,0.058350,0.653931,500b,resnet18
0.891666,3.637695,2.774841,0.059509,0.699097,500b,resnet18
1.110261,3.856445,2.867676,0.069031,0.812988,500b,resnet18
1.002402,3.902588,2.996521,0.072754,0.771973,500b,resnet18
6.899216,46.741272,39.842102,0.131165,5.127991,256Kb,resnet152
1.472843,7.616699,6.342285,0.029724,1.084229,256Kb,resnet152
1.726923,8.097534,6.671570,0.029480,1.233887,256Kb,resnet152
1.677004,7.677368,6.476318,0.029480,1.152283,256Kb,resnet152
1.751779,8.243591,6.779053,0.029785,1.251343,256Kb,resnet152
1.756421,8.278931,6.733215,0.025818,1.263367,256Kb,resnet152
1.763293,8.386475,6.834961,0.028259,1.264099,256Kb,resnet152
1.608074,7.793213,6.506348,0.021606,1.166138,256Kb,resnet152
1.641393,8.042114,6.618286,0.027893,1.190552,256Kb,resnet152
1.605697,7.749695,6.413574,0.016357,1.143616,256Kb,resnet152
1.705850,8.037354,6.599243,0.022461,1.210876,256Kb,resnet152
1.811671,8.150757,6.662476,0.020508,1.269958,256Kb,resnet152
1.682965,8.059265,6.601746,0.028320,1.208008,256Kb,resnet152
